title,mrp,sellingPrice,specialPrice,productUrl,productBrand,inStock,codAvailable,offers,discount,shippingCharges
"ECOTARA Marvel Designer Super Saver Classic Printed Multipurpose Premium Quality Eco Friendly Everyday Useful Travel Bag, Office Bag, Lunch Bag, Hand Bag, Gift Bag With Closing Zipper & Bottle Holder Natural Jute Bag For Mens & Womens Medium Size (12""H X 10""L) (Green & Red) - (Set of 2) Multipurpose",1300.0,1300.0,599.0,http://www.flipkart.com/ecotara-marvel-designer-super-saver-classic-printed-multipurpose-premium-quality-eco-friendly-everyday-useful-travel-bag-office-lunch-hand-gift-bag-closing-zipper-bottle-holder-natural-jute-mens-womens-medium-size-12-h-x-10-l-green-red-set-2/p/itmf8degydawcugn?pid=BAGF8CW9SNJGKDQS,ECOTARA,true,true,,53,60.0
"vigor M-5 Black & Parrot Green Multipurpose Bag(Green, 25 L)",1449.0,1449.0,799.0,http://www.flipkart.com/vigor-m-5-black-parrot-green-multipurpose-bag/p/itmehnfaeazxzzh9?pid=BAGEHNFAESHRKDYP,vigor,true,true,,44,65.0
"Navanach wonderfull Multipurpose Bag(Green, 2 L)",200.0,200.0,175.0,http://www.flipkart.com/navanach-wonderfull-multipurpose-bag/p/itmf8y52zyyhvh3j?pid=BAGF8XPVDZQYHFCH,Navanach,true,true,,12,0.0
"vigor M-12 Black & Red Multipurpose Bag(Red, 25 L)",1325.0,1325.0,799.0,http://www.flipkart.com/vigor-m-12-black-red-multipurpose-bag/p/itmehnfa42kzmhh6?pid=BAGEHNFAHWQGCB7G,vigor,true,true,,39,65.0
"vigor M-8 Black & Red Multipurpose Bag(Black, 30 L)",1499.0,1499.0,799.0,http://www.flipkart.com/vigor-m-8-black-red-multipurpose-bag/p/itmehnfc2wgh8ddg?pid=BAGEHNFCCGTRTM8B,vigor,true,true,,46,0.0
"Celestial Horse 3 in 1 Pink Gym Bag Cum Travel Bag & Back Pack Multipurpose Bag(Pink, 19 L)",1999.0,1999.0,1299.0,http://www.flipkart.com/celestial-horse-3-1-pink-gym-bag-cum-travel-back-pack-multipurpose/p/itmerfe4ge6j3fbe?pid=BAGERFE4DHJHZYGZ,Celestial Horse,true,true,,35,0.0
"ECOTARA Designer Super Saver Classic Printed Multipurpose Premium Quality Bag Multipurpose Bag(Multicolor, 3 L)",1300.0,1300.0,599.0,http://www.flipkart.com/ecotara-designer-super-saver-classic-printed-multipurpose-premium-quality-bag/p/itmf8ddejjfsyvj4?pid=BAGF8DDEHW525HHZ,ECOTARA,true,true,,53,0.0
"bludug Foldable Lightweight Waterproof Travel Backpack Daypack Bag Sports&Hiking Waterproof Multipurpose Bag(Pink, 15 L)",795.0,795.0,285.0,http://www.flipkart.com/bludug-foldable-lightweight-waterproof-travel-backpack-daypack-bag-sports-hiking-multipurpose/p/itmf7wsnmks43hjy?pid=BAGF7XSNFHRZHFCG,bludug,true,true,,64,45.0
"Srajanaa High Quality PVC Material Black Color White Dotted Picnic/Multi Purpose Bag Waterproof Multipurpose Bag(Black, 35 L)",1340.0,1340.0,489.0,http://www.flipkart.com/srajanaa-high-quality-pvc-material-black-color-white-dotted-picnic-multi-purpose-bag-waterproof-multipurpose/p/itmf9pgr8qwpkhg8?pid=BAGF9MYWHYZDGBKR,Srajanaa,true,true,,63,0.0
Pithadai PGC5295 Weighing Scale(Black),999.0,999.0,297.0,http://www.flipkart.com/pithadai-pgc5295-weighing-scale/p/itmf9wxgzjvpyffz?pid=WSLF9WWDSZ6ME3G8,Pithadai,true,true,,70,0.0
AC Portable Electronic Digital Lcd Screen Scale For Travel Luggage 50 kg Weighing Scale(Black),799.0,799.0,307.0,http://www.flipkart.com/ac-portable-electronic-digital-lcd-screen-scale-travel-luggage-50-kg-weighing/p/itmf9exfqp5hhsnh?pid=WSLF9EF5HBUQKGBB,AC,true,true,,61,0.0
VGS MARKETINGS 50Kg HANGING LUGGAGE SCALE Pocket scale Weghing scale 50KG MAX kitche SCALE DIGITAL WEGHING SCALE Weighing Scale(Multicolor),399.0,399.0,225.0,http://www.flipkart.com/vgs-marketings-50kg-hanging-luggage-scale-pocket-weghing-max-kitche-digital-weighing/p/itmfa3bunchkezbg?pid=WSLFA2V3Y2FV3UHZ,VGS MARKETINGS,true,true,,43,54.0
"Panther Panther-V1 Multipurpose Bag(Blue, 2 L)",700.0,700.0,700.0,http://www.flipkart.com/panther-panther-v1-multipurpose-bag/p/itmfchtfjhnxvfzg?pid=BAGFCKUZWRKFGYZG,Panther,true,true,,0,0.0
"Holiday Waterproof Travel Cosmetic Pouch Makeup Toiletry Hanging Storage Bag Organizer Toiletry Bag For Men & Women Hanging Toiletries Kit For Makeup, Cosmetic, Shaving, Travel Accessories Organizer Travel Toiletry Kit Waterproof Multipurpose Bag(Multicolor, Pink, 5 L)",999.0,999.0,455.0,http://www.flipkart.com/holiday-waterproof-travel-cosmetic-pouch-makeup-toiletry-hanging-storage-bag-organizer-men-women-toiletries-kit-makeup-cosmetic-shaving-accessories-multipurpose/p/itmfcmgfgp3cqeuz?pid=BAGFCHZHKGVFWFXK,Holiday,true,true,,54,0.0
Zelenor Smiley Pocket Weight Machine Digital Travel Luggage Weighing Scale(Black),999.0,999.0,320.0,http://www.flipkart.com/zelenor-smiley-pocket-weight-machine-digital-travel-luggage-weighing-scale/p/itmfcpp2mznwcggt?pid=WSLFCPP2Q87PHWNG,Zelenor,true,true,,67,0.0
Zelenor 50Kg Portable Hanging Luggage Weight Machine Digital for Weighing Household Items Weighing Scale(Black),999.0,999.0,320.0,http://www.flipkart.com/zelenor-50kg-portable-hanging-luggage-weight-machine-digital-weighing-household-items-scale/p/itmfdygfwvbevtjq?pid=WSLFDYDZPWTGKTSE,Zelenor,true,true,,67,40.0
Zelenor 50Kg Portable Hanging Luggage Weight Machine Digital for Weighing Household Items Weighing Scale(Black),999.0,999.0,320.0,http://www.flipkart.com/zelenor-50kg-portable-hanging-luggage-weight-machine-digital-weighing-household-items-scale/p/itmfdyuxfbepuypm?pid=WSLFDYDATZGH7NQQ,Zelenor,true,true,,67,0.0
HomeSpecial cheap luggae scale15kg Weighing Scale(Black),600.0,600.0,305.0,http://www.flipkart.com/homespecial-cheap-luggae-scale15kg-weighing-scale/p/itmetvrzja6hh2kt?pid=WSLETVRZK8Z4NTBJ,HomeSpecial,true,true,,66,0.0
Metroz Electronic Digital Professional Pocket Scale for upto 500 Grams Weighing Scale(Grey),600.0,600.0,378.0,http://www.flipkart.com/metroz-electronic-digital-professional-pocket-scale-upto-500-grams-weighing/p/itmf4pw9kgvrzezy?pid=WSLF4PEYCFHZNHMZ,Metroz,true,true,,37,0.0
JIVO DIGITAL POCKET SCALE Weighing Scale(Silver),999.0,999.0,399.0,http://www.flipkart.com/jivo-digital-pocket-scale-weighing/p/itmf8sevwar6hg5z?pid=WSLF8S4E23S2AWXB,JIVO,true,true,,60,0.0
Pithadai Portable Electronic Digital Lcd Screen Scale For Travel Luggage 50 kg Weighing Scale Weighing Scale(Black),799.0,799.0,297.0,http://www.flipkart.com/pithadai-portable-electronic-digital-lcd-screen-scale-travel-luggage-50-kg-weighing/p/itmf9nb2h35pmbsc?pid=WSLF9HFPQKVHZKGH,Pithadai,true,true,,62,0.0
Zingalalaa Digital LCD Hanging Weighing Scale(Black),1499.0,1499.0,699.0,http://www.flipkart.com/zingalalaa-digital-lcd-hanging-weighing-scale/p/itme2k6azyy4psgc?pid=WSLE2K6A6RZCQEKZ,Zingalalaa,true,true,,53,0.0
SWARISH  Portable Handheld 40 Kg Electronic Led Travel Luggage Weighing Scale(Black),599.0,599.0,299.0,http://www.flipkart.com/swarish-portable-handheld-40-kg-electronic-led-travel-luggage-weighing-scale/p/itmefrgvw6hbshab?pid=WSLEFRGVNQQ85J7Z,SWARISH,true,true,,50,0.0
E-DEAL Smiley Hanging Weighing Scale(Multicolor),550.0,550.0,275.0,http://www.flipkart.com/e-deal-smiley-hanging-weighing-scale/p/itmebngpz36e5yyz?pid=WSLEBNGPMJM2ZK3H,E-DEAL,true,true,,50,60.0
Glitter Collection Pocket Weighing Scale Weighing Scale(Silver),500.0,500.0,225.0,http://www.flipkart.com/glitter-collection-pocket-weighing-scale/p/itmfbqqfzpbhuach?pid=WSLFBQKGTG5UHHUD,Glitter Collection,true,true,,50,0.0
Kanantraders Digital 50kg Weighing Weighing Scale(Black),599.0,599.0,325.0,http://www.flipkart.com/kanantraders-digital-50kg-weighing-scale/p/itmf9hnq5cprgfsz?pid=WSLF9F5FVJYDKAC2,Kanantraders,true,true,,45,0.0
HomeSpecial Snooty Cheap Weighing Scale(Black),499.0,499.0,299.0,http://www.flipkart.com/homespecial-snooty-cheap-weighing-scale/p/itmewkggvzqcjmf3?pid=WSLEWJ7KG4GABMDZ,HomeSpecial,true,true,,40,0.0
"Daystar Danity Smiley Weighing Scale(Black, Yellow, Grey)",499.0,499.0,299.0,http://www.flipkart.com/daystar-danity-smiley-weighing-scale/p/itmewk8h3bpgyyar?pid=WSLEWJDGFGXWGPGG,Daystar,true,true,,44,52.0
VAIBHAV Digital LCD Screen For Travel Luggage Hanging Weighing Scale(Black),499.0,499.0,320.0,http://www.flipkart.com/vaibhav-digital-lcd-screen-travel-luggage-hanging-weighing-scale/p/itmeb2xenzjwsd2g?pid=WSLEB2XD7F2VVAPY,VAIBHAV,true,true,,35,40.0
IndoSkyAsia Digital LCD Handheld Portable Weighing Scale(Black),999.0,999.0,299.0,http://www.flipkart.com/indoskyasia-digital-lcd-handheld-portable-weighing-scale/p/itmf2zzj8kpxnbtm?pid=WSLF2Z5JZ47WSKZT,IndoSkyAsia,true,true,,70,52.0
KB's Portable and Digital Weighing Scale(Multicolor),599.0,599.0,349.0,http://www.flipkart.com/kb-s-portable-digital-weighing-scale/p/itme9k9jm9dzc3dn?pid=WSLE9K9JZY59VTNG,KB's,true,true,,41,50.0
KITCHEN INDIA ™ 200g Digital Jewellery Pocket Weighing Scale(Silver),799.0,799.0,349.0,http://www.flipkart.com/kitchen-india-200g-digital-jewellery-pocket-weighing-scale/p/itmf4d8zvgt6dh9q?pid=WSLF4D65HGVYKDWS,KITCHEN INDIA,true,true,,56,0.0
U. R. GOD Electronic Digital Luggage Weighing Scale(Black),799.0,799.0,699.0,http://www.flipkart.com/u-r-god-electronic-digital-luggage-weighing-scale/p/itmehyfnbezddehs?pid=WSLEHYFMANKAWE6U,U. R. GOD,true,true,,12,0.0
FDP WH-A04L-Black Weighing Scale(Black),493.0,493.0,245.0,http://www.flipkart.com/fdp-wh-a04l-black-weighing-scale/p/itmdwefgs4yfmwez?pid=WSLDWEFG9GEBZGB7,FDP,true,true,,50,48.0
Granny Smith High Precision Jewellery Weight Machine With 200g Capacity & Blue Backlite Portable Pocket Weighing Scale(Silver),999.0,999.0,349.0,http://www.flipkart.com/granny-smith-high-precision-jewellery-weight-machine-200g-capacity-blue-backlite-portable-pocket-weighing-scale/p/itmf5hh6f3gapza2?pid=WSLF5HEMWNRANUYH,Granny Smith,true,true,,65,0.0
Metroz Electronic Digital Professional Pocket Scale for upto 200 Grams Weighing Scale(Grey),500.0,500.0,319.0,http://www.flipkart.com/metroz-electronic-digital-professional-pocket-scale-upto-200-grams-weighing/p/itmf4py67wzygqsz?pid=WSLF4PY6Q4PFQFGR,Metroz,true,true,,36,0.0
popaji 50kg Electronic LCD Luggage Scale - Hook Weighing Scale(Black),499.0,499.0,479.0,http://www.flipkart.com/popaji-50kg-electronic-lcd-luggage-scale-hook-weighing/p/itmezf3szevxazfz?pid=WSLEZEFGVNB7UP6B,popaji,true,true,,4,0.0
Zelenor 50Kg Portable Hanging Luggage Weight Machine Digital for Weighing Household Items Weighing Scale(Black),999.0,999.0,320.0,http://www.flipkart.com/zelenor-50kg-portable-hanging-luggage-weight-machine-digital-weighing-household-items-scale/p/itmfd47h4cnu4k43?pid=WSLFD2EBBUNAZS9T,Zelenor,true,true,,67,40.0
Zelenor Smiley Pocket Weight Machine Digital 50Kg Travel Luggage Weighing Scale(Orange),999.0,999.0,299.0,http://www.flipkart.com/zelenor-smiley-pocket-weight-machine-digital-50kg-travel-luggage-weighing-scale/p/itmfd539qzefwu9v?pid=WSLFD4CPA6TWH8AZ,Zelenor,true,true,,70,0.0
"LeeRooy MN-LeeRooy 22 Ltr Canvas Black Multipurpose Bag Backpack Waterproof Multipurpose Bag(Black, 22 L)",1001.0,1001.0,451.0,http://www.flipkart.com/leerooy-mn-leerooy-22-ltr-canvas-black-multipurpose-bag-backpack-waterproof/p/itmf98n4ukpq6wgw?pid=BAGF98HDQNCDSAYY,LeeRooy,true,true,,54,65.0
