title,mrp,sellingPrice,specialPrice,productUrl,productBrand,inStock,codAvailable,offers,discount,shippingCharges
haramain Pure Original Makkah Perfume Oil (Attar) - 15 ml Floral Attar(Floral),1199.0,1199.0,749.0,http://www.flipkart.com/haramain-pure-original-makkah-perfume-oil-attar-15-ml-floral-attar/p/itmfcff6ksmgzx8c?pid=ATTFBZNBYCAFVFXK,haramain,true,true,,37,65.0
Arochem Marhabaa Millennium Lovender Combo Floral Attar(Musk),899.0,899.0,340.0,http://www.flipkart.com/arochem-marhabaa-millennium-lovender-combo-floral-attar/p/itmendfabyj5xtke?pid=ATTENDFAGMPDG8PB,Arochem,true,true,,64,50.0
Arochem Diva Mushk Ae Bahar Combo Floral Attar(Floral),699.0,699.0,300.0,http://www.flipkart.com/arochem-diva-mushk-ae-bahar-combo-floral-attar/p/itmendd6v5qpdeht?pid=ATTENDD46FDSVRJ5,Arochem,true,true,,67,50.0
Al Nuaim Alisha Floral Long Lasting Floral Attar(Floral),399.0,399.0,87.0,http://www.flipkart.com/al-nuaim-alisha-floral-long-lasting-attar/p/itmfaggav6grahrh?pid=ATTFAGBCRGTCATPA,Al Nuaim,true,true,,74,60.0
Arochem Diva Deewan ae khas Mushk Ae Bahar Combo Floral Attar(Floral),699.0,699.0,400.0,http://www.flipkart.com/arochem-diva-deewan-ae-khas-mushk-bahar-combo-floral-attar/p/itmendfxstxv6epc?pid=ATTENDFXFUFT78KU,Arochem,true,true,,53,50.0
Kivalo Ⓡ Oud Noir Fragrance Swiss Arabian Imported Pure Concentrated Attar - 250 ml Floral Attar(Floral),6699.0,6699.0,4097.0,http://www.flipkart.com/kivalo-oud-noir-fragrance-swiss-arabian-imported-pure-concentrated-attar-250-ml-floral/p/itmfbk8ws3vauzfy?pid=ATTFBEGXZFMBXBGU,Kivalo,true,true,,37,0.0
Al Nuaim World Black Floral Long Lasting Floral Attar(Floral),500.0,500.0,210.0,http://www.flipkart.com/al-nuaim-world-black-floral-long-lasting-attar/p/itmfaggartfjybm6?pid=ATTFAGB7BSXHSP9Z,Al Nuaim,true,true,,76,0.0
Vune SAN_IN_FN_3 Herbal Attar(Floral),550.0,550.0,334.0,http://www.flipkart.com/vune-san-in-fn-3-herbal-attar/p/itmfacqu3f3rvgup?pid=ATTFACNRVWW6YBGG,Vune,true,true,,18,58.0
Al Nuaim Atter3 Floral Attar(Floral),299.0,299.0,199.0,http://www.flipkart.com/al-nuaim-atter3-floral-attar/p/itmfapyze2rnvspf?pid=ATTFAPYZUQU4HJ5H,Al Nuaim,true,true,,50,60.0
Al Nuaim Coco Noir Floral Long Lasting Floral Attar(Floral),500.0,500.0,160.0,http://www.flipkart.com/al-nuaim-coco-noir-floral-long-lasting-attar/p/itmfagga4jzhwvxz?pid=ATTFAGB92YCFMJYC,Al Nuaim,true,true,,70,55.0
Arochem Love me marhabaa Mushk Ae Bahar Combo Floral Attar(Floral),999.0,999.0,340.0,http://www.flipkart.com/arochem-love-me-marhabaa-mushk-ae-bahar-combo-floral-attar/p/itmendf5ahsvmy2b?pid=ATTENDF5K26NGGGR,Arochem,true,true,,67,50.0
Vune BL_SAN_M_3 Herbal Attar(Floral),500.0,500.0,400.0,http://www.flipkart.com/vune-bl-san-m-3-herbal-attar/p/itmfabfjpjnjfxuz?pid=ATTFAAJMCZS88YCE,Vune,true,true,,20,58.0
Vune SAN_BO_BL_3 Herbal Attar(Floral),550.0,550.0,450.0,http://www.flipkart.com/vune-san-bo-bl-3-herbal-attar/p/itmfacquzacpz5gf?pid=ATTFACNSCHTAKU5S,Vune,true,true,,18,58.0
Vune FN_SAN_M_3 Herbal Attar(Floral),550.0,550.0,450.0,http://www.flipkart.com/vune-fn-san-m-3-herbal-attar/p/itmfac4ckywyfhup?pid=ATTFABM38RJNJXPU,Vune,true,true,,18,58.0
Arochem Amber ae hyatt Aro Charming Aro cigar Mushk Ae Bahar Combo Floral Attar(Floral),999.0,999.0,500.0,http://www.flipkart.com/arochem-amber-ae-hyatt-aro-charming-cigar-mushk-bahar-combo-floral-attar/p/itmendffzzepdrvr?pid=ATTENDFDFKDNDMAG,Arochem,true,true,,57,50.0
Arochem Aro Charming Aro Cigar Mahek Ae Kasturi Combo Floral Attar(Floral),699.0,699.0,340.0,http://www.flipkart.com/arochem-aro-charming-cigar-mahek-ae-kasturi-combo-floral-attar/p/itmendffqmz9pzbf?pid=ATTENDFFEH56P8XQ,Arochem,true,true,,50,50.0
Vune M_IN_FN_3 Herbal Attar(Floral),550.0,550.0,450.0,http://www.flipkart.com/vune-m-in-fn-3-herbal-attar/p/itmfacuzvqzzrcfh?pid=ATTFACZZGKV9DK8T,Vune,true,true,,18,58.0
Arochem Deewan ae khas Ethena Fantasia Black Jack Combo Floral Attar(Floral),637.0,637.0,490.0,http://www.flipkart.com/arochem-deewan-ae-khas-ethena-fantasia-black-jack-combo-floral-attar/p/itmendfxvuyar3bd?pid=ATTENDFXZADPXFF5,Arochem,true,true,,57,50.0
Arochem Real rose Romeo Mushk Ae Bahar Combo Floral Attar(Amber),699.0,699.0,340.0,http://www.flipkart.com/arochem-real-rose-romeo-mushk-ae-bahar-combo-floral-attar/p/itmendffdbnwkzcv?pid=ATTENDFFNZTBHSWY,Arochem,true,true,,53,50.0
Arochem Butt mogra Black oudh Blue star Lovender Combo Floral Attar(Sandalwood),999.0,999.0,350.0,http://www.flipkart.com/arochem-butt-mogra-black-oudh-blue-star-lovender-combo-floral-attar/p/itmend9qsjfmcpcf?pid=ATTEND9ZMYURVZB8,Arochem,true,true,,57,50.0
Al Nuaim Burj Khalifa Floral Long Lasting Floral Attar(Floral),500.0,500.0,87.0,http://www.flipkart.com/al-nuaim-burj-khalifa-floral-long-lasting-attar/p/itmfagtvwuwgpkpp?pid=ATTFAGB6DFVKBFVE,Al Nuaim,true,true,,74,55.0
Arochem Sufiyaana Black Jack Combo Floral Attar(Musk),395.0,395.0,304.0,http://www.flipkart.com/arochem-sufiyaana-black-jack-combo-floral-attar/p/itmend9qvcrmktzm?pid=ATTEND9ZXNGHCCFV,Arochem,true,true,,67,60.0
Al Nuaim Shahi Darbar Floral Long Lasting Floral Attar(Floral),477.0,477.0,114.0,http://www.flipkart.com/al-nuaim-shahi-darbar-floral-long-lasting-attar/p/itmfagtvfqjx8hnh?pid=ATTFAGBD58ZZFHQQ,Al Nuaim,true,true,,75,60.0
Arochem Love me Ice blue King oudh Black Jack Combo Floral Attar(Sandalwood),999.0,999.0,500.0,http://www.flipkart.com/arochem-love-me-ice-blue-king-oudh-black-jack-combo-floral-attar/p/itmendffrr9kc4ng?pid=ATTENDFFSXPAWZWV,Arochem,true,true,,57,50.0
Ajmal Impress Floral Attar(Amber),500.0,500.0,300.0,http://www.flipkart.com/ajmal-impress-floral-attar/p/itmeku2sru7raqxr?pid=ATTEKU2SMFZGHY75,Ajmal,true,true,,15,40.0
Arochem FRGATAROMGBO Floral Attar(Amber),699.0,699.0,215.0,http://www.flipkart.com/arochem-frgataromgbo-floral-attar/p/itmf8khkmvy68fug?pid=ATTF8KHKHNQ8DU4T,Arochem,true,true,,65,0.0
Arochem Aro PDS Aro romance Mushk Ae Bahar Combo Floral Attar(Rose),999.0,999.0,420.0,http://www.flipkart.com/arochem-aro-pds-romance-mushk-ae-bahar-combo-floral-attar/p/itmend9qmskzah8w?pid=ATTEND9ZHP8ZFHDF,Arochem,true,true,,65,50.0
haramain Pure Original Musk Perfume Oil (Attar) - 15 ml Floral Attar(Musk Arabia),1199.0,1199.0,599.0,http://www.flipkart.com/haramain-pure-original-musk-perfume-oil-attar-15-ml-floral-attar/p/itmfbygygew62z96?pid=ATTFBXHMHNDYYVVB,haramain,true,true,,50,65.0
Vune IN_SAN_M_3 Herbal Attar(Floral),550.0,550.0,450.0,http://www.flipkart.com/vune-in-san-m-3-herbal-attar/p/itmfabtwqkrx8mnw?pid=ATTFABK2RHSQEGBH,Vune,true,true,,18,58.0
Al Nuaim Royal Prophecy (1200 Shots) Long Lasting Floral Attar(Floral),265.0,265.0,265.0,http://www.flipkart.com/al-nuaim-royal-prophecy-1200-shots-long-lasting-floral-attar/p/itmfagtvpykxaeg9?pid=ATTFAGB6YBDPEBZJ,Al Nuaim,true,true,,27,55.0
Al Nuaim Nazneen Floral Long Lasting Floral Attar(Floral),487.0,487.0,118.0,http://www.flipkart.com/al-nuaim-nazneen-floral-long-lasting-attar/p/itmfagtva5mgxxh9?pid=ATTFAGBEPUV7GVFK,Al Nuaim,true,true,,79,55.0
Al Nuaim Orignal X Floral Long Lasting Floral Attar(Floral),500.0,500.0,168.0,http://www.flipkart.com/al-nuaim-orignal-x-floral-long-lasting-attar/p/itmfagga7nvvhyvy?pid=ATTFAGBSZWN5RJYK,Al Nuaim,true,true,,76,52.0
Vune SHA_SAN_M_3 Herbal Attar(Floral),550.0,550.0,334.0,http://www.flipkart.com/vune-sha-san-m-3-herbal-attar/p/itmfacqthsbj72fa?pid=ATTFACNRGRVBNQN6,Vune,true,true,,18,58.0
Arochem Sukhad Ruh Khus Sufiyaana Mushk Ae Bahar Combo Floral Attar(Musk),999.0,999.0,557.0,http://www.flipkart.com/arochem-sukhad-ruh-khus-sufiyaana-mushk-ae-bahar-combo-floral-attar/p/itmendff7evn5yha?pid=ATTENDFDQS4USE6W,Arochem,true,true,,50,50.0
Arochem Diva Deewan ae khas Mahek Ae Kasturi Combo Floral Attar(Floral),999.0,999.0,325.0,http://www.flipkart.com/arochem-diva-deewan-ae-khas-mahek-kasturi-combo-floral-attar/p/itmendfe8hgjvrc3?pid=ATTENDFCTU6GTPZG,Arochem,true,true,,67,50.0
Al Nuaim Black Code Floral Long Lasting Floral Attar(Floral),499.0,499.0,87.0,http://www.flipkart.com/al-nuaim-black-code-floral-long-lasting-attar/p/itmfaggaqef9sbpt?pid=ATTFAGBCG9ZSC7FR,Al Nuaim,true,true,,70,65.0
Vune SUFI_SHA_SAN_3 Herbal Attar(Floral),550.0,550.0,334.0,http://www.flipkart.com/vune-sufi-sha-san-3-herbal-attar/p/itmfafebmkfrdcj3?pid=ATTFAEZATZYVS8VH,Vune,true,true,,18,58.0
Swiss Arabian Noora ONYX Fragrance Imported Original Attar Floral Attar(Floral),2199.0,2199.0,1599.0,http://www.flipkart.com/swiss-arabian-noora-onyx-fragrance-imported-original-attar-floral/p/itmfcznetx6mgu3x?pid=ATTFCZK67YFGRVGX,Swiss Arabian,true,true,,25,65.0
Al Nuaim Assel (pack of 2) Floral Attar(Musk),498.0,498.0,399.0,http://www.flipkart.com/al-nuaim-assel-pack-2-floral-attar/p/itmfdcy2qnaddumj?pid=ATTFDCH9VQY4HS8M,Al Nuaim,true,true,,20,55.0
Al Nuaim Blue wave (pack of 2) Floral Attar(Musk),498.0,498.0,450.0,http://www.flipkart.com/al-nuaim-blue-wave-pack-2-floral-attar/p/itmfddfu76bccxff?pid=ATTFDCGXDUMNDBXC,Al Nuaim,true,true,,11,66.0
Al Nuaim Kashmiri Oudh (pack of 3) Floral Attar(Musk),750.0,750.0,680.0,http://www.flipkart.com/al-nuaim-kashmiri-oudh-pack-3-floral-attar/p/itmfdd3jnguqe7zd?pid=ATTFDCGPYYNCW2MD,Al Nuaim,true,true,,21,55.0
Al Nuaim ALNUAIM FIGO BLACK CHOCLATE MUSK (PACK OFF 2 ) Floral Attar(Musk),598.0,598.0,420.0,http://www.flipkart.com/al-nuaim-alnuaim-figo-black-choclate-musk-pack-off-2-floral-attar/p/itmfdfweznmtsth9?pid=ATTFDFPVCHN9FTDH,Al Nuaim,true,true,,33,66.0
"Al Nuaim ALNUAIM D'LOVE,ROYAL PROPHECY PACK OFF 2 Floral Attar(Musk)",598.0,598.0,485.0,http://www.flipkart.com/al-nuaim-alnuaim-d-love-royal-prophecy-pack-off-2-floral-attar/p/itmfdfwrdngprxgp?pid=ATTFDFZ8GY4ZVE2M,Al Nuaim,true,true,,26,66.0
Emirates Chastity Floral Attar(Floral),229.0,229.0,135.0,http://www.flipkart.com/emirates-chastity-floral-attar/p/itmehv5weh5mmxyn?pid=ATTEHV5WSWSFF7JS,Emirates,true,true,,39,45.0
Arochem Butt Mogra Charming Girl Diva Aura Combo Floral Attar(Amber),999.0,999.0,395.0,http://www.flipkart.com/arochem-butt-mogra-charming-girl-diva-aura-combo-floral-attar/p/itmejh8h7qrscqzy?pid=ATTEJH8HFZCVZAYT,Arochem,true,true,,58,50.0
Arochem Green musk Ethena Fantasia Kala Bhoot Combo Floral Attar(Floral),637.0,637.0,490.0,http://www.flipkart.com/arochem-green-musk-ethena-fantasia-kala-bhoot-combo-floral-attar/p/itmejh8gq2vvcytx?pid=ATTEJH8GFGQAP5XS,Arochem,true,true,,57,50.0
Rockinclay 194909 Floral Attar(Floral),1800.0,1800.0,600.0,http://www.flipkart.com/rockinclay-194909-floral-attar/p/itmegdv8jmhzauxg?pid=ATTEGDV8YMXN4GYN,Rockinclay,true,true,,16,0.0
Almas Yes Sir Long Lasting Pokcet Perfume. Floral Attar(Sandalwood),385.0,385.0,175.0,http://www.flipkart.com/almas-yes-sir-long-lasting-pokcet-perfume-floral-attar/p/itmetmvhzapunzqf?pid=ATTETMVHZNGE65HB,Almas,true,true,,44,29.0
arochem REAL ROSE french Pocket Floral Attar(Rose),399.0,399.0,115.0,http://www.flipkart.com/arochem-real-rose-french-pocket-floral-attar/p/itmf57mejbxbvrdk?pid=ATTF57MEHAMGSGHH,arochem,true,true,,51,50.0
Arochem Charming Girl King Oudh Aro PDS Combo Floral Attar(Amber),999.0,999.0,405.0,http://www.flipkart.com/arochem-charming-girl-king-oudh-aro-pds-combo-floral-attar/p/itmejgfuygabgk68?pid=ATTEJGFU2VNYPMYF,Arochem,true,true,,66,50.0
